Warship ;Tier ;Type ;Nation ;Battles ;Win rate ;Avg. frags ;Avg. damage ;Avg. experience ;Avg. planes destroyed ;Kills / deaths
Diana Lima ;2;Cruiser ;U.S.S.R. ;49 127 ;54.22 % ;1.4 ;23 896 ;832;0 ;3.04
Libertad ;10;Battleship ;Pan-America ;49 054 ;54.91 % ;1.12 ;112 898 ;2 152 ;3.36 ;1.72
Piemonte ;11;Cruiser ;Italy ;46 741 ;49.4 % ;0.85 ;88 026 ;1 940 ;2.28 ;1.74
Scarlet Thunder ;9;Battleship ;U.K. ;44 723 ;50.55 % ;0.69 ;75 363 ;1 740 ;3.98 ;1.25
Alliance ;8;Submarine ;U.K. ;44 263 ;49.74 % ;0.37 ;20 655 ;1 373 ;0 ;0.65
Mysore ;6;Cruiser ;Commonwealth ;43 112 ;54.56 % ;0.77 ;33 053 ;1 405 ;3.44 ;1.47
Leipzig ;6;Cruiser ;Germany ;42 889 ;53.05 % ;0.74 ;30 037 ;1 293 ;1.35 ;1.17
Halford ;9;Destroyer ;U.S.A. ;42 748 ;49.25 % ;0.57 ;36 960 ;1 586 ;1.31 ;1.21
Almirante Oquendo ;9;Cruiser ;Spain ;42 375 ;50.55 % ;0.63 ;61 502 ;1 646 ;1.64 ;1.22
Jacksonville ;11;Cruiser ;U.S.A. ;41 989 ;55.03 % ;1.11 ;104 947 ;2 278 ;5.42 ;2.34
Kearsarge B ;9;Battleship ;U.S.A. ;41 918 ;50.98 % ;0.72 ;71 133 ;1 706 ;2.93 ;1.49
HSF Harekaze II ;8;Destroyer ;Japan ;39 782 ;51.47 % ;0.74 ;32 870 ;1 663 ;0.11 ;1.25
Schill ;8;Cruiser ;Germany ;39 687 ;52.76 % ;0.69 ;47 110 ;1 604 ;2.6 ;1.12
Méndez Núñez ;2;Cruiser ;Spain ;39 648 ;47.72 % ;1.38 ;26 717 ;704;0 ;2.72
Cassard ;10;Destroyer ;France ;38 109 ;56.01 % ;1.1 ;62 813 ;2 048 ;2.23 ;2.31
L'Adroit ;5;Destroyer ;France ;37 834 ;48.98 % ;0.61 ;18 100 ;931;0.06 ;0.94
Nazario Sauro ;3;Destroyer ;Italy ;36 896 ;50.62 % ;1.32 ;27 545 ;797;0.28 ;2.67
Oleg ;3;Cruiser ;U.S.S.R. ;36 859 ;53.83 % ;1.06 ;26 902 ;776;0 ;1.89
Wiesbaden ;8;Cruiser ;Germany ;36 768 ;52.06 % ;0.67 ;43 180 ;1 620 ;5.06 ;1.14
Hector ;9;Cruiser ;Commonwealth ;36 035 ;52.7 % ;0.7 ;52 536 ;1 693 ;2.55 ;1.23
Van Speijk ;9;Cruiser ;The Netherlands ;36 007 ;55.34 % ;0.75 ;68 629 ;1 909 ;5.39 ;1.5
Hildebrand ;10;Cruiser ;Germany ;35 289 ;54.9 % ;0.82 ;70 496 ;2 024 ;3.59 ;1.85
FR25 ;7;Destroyer ;Italy ;35 049 ;50.87 % ;0.71 ;26 593 ;1 435 ;1.14 ;1.09
Karl von Schönberg ;6;Destroyer ;Germany ;32 359 ;53.04 % ;0.68 ;23 523 ;1 253 ;1.19 ;1.21
Hércules ;1;Cruiser ;Pan-America ;32 021 ;46.13 % ;2.99 ;18 727 ;861;0 ;5.92
ARP Maya ;8;Cruiser ;Japan ;30 853 ;54.68 % ;0.77 ;51 120 ;1 786 ;2.78 ;1.64
HSF Hiei ;5;Battleship ;Japan ;30 448 ;56%;0.98 ;49 189 ;1 334 ;2.25 ;1.84
Vallejo ;9;Cruiser ;U.S.A. ;29 214 ;52.41 % ;0.68 ;65 197 ;1 744 ;4.7 ;1.39
Júpiter ;1;Cruiser ;Spain ;29 098 ;43.17 % ;2.87 ;18 336 ;855;0 ;5.24
AL Prinz Heinrich ;7;Battleship ;Germany ;28 337 ;53.81 % ;1.01 ;54 155 ;1 604 ;2.63 ;1.53
STAR Kitakaze ;9;Destroyer ;Japan ;27 964 ;49.68 % ;0.69 ;42 017 ;1 596 ;2.08 ;1.02
AL Shimakaze ;10;Destroyer ;Japan ;27 652 ;50.85 % ;0.82 ;48 349 ;1 736 ;0.82 ;1.56
Le Hardi ;7;Destroyer ;France ;27 141 ;53.59 % ;0.89 ;31 706 ;1 633 ;0.63 ;1.74
Saipan B ;8;Aircraft Carrier ;U.S.A. ;27 123 ;48.76 % ;0.68 ;57 070 ;1 574 ;3.65 ;2.68
Gelderland ;2;Cruiser ;The Netherlands ;26 232 ;41.13 % ;0.91 ;17 724 ;548;0.01 ;1.7
Francesco Ferruccio ;7;Cruiser ;Italy ;25 497 ;55.16 % ;0.86 ;46 382 ;1 651 ;2.04 ;1.77
Duchaffault ;6;Destroyer ;France ;25 476 ;57.01 % ;0.95 ;29 048 ;1 502 ;0.54 ;2.01
Stord '43 ;7;Destroyer ;Europe ;25 443 ;49.01 % ;0.56 ;23 035 ;1 345 ;0.61 ;0.92
Brandenburg B ;8;Battleship ;Germany ;25 235 ;52.1 % ;0.86 ;59 835 ;1 718 ;4.42 ;1.28
Johnston ;9;Destroyer ;U.S.A. ;25 180 ;52.4 % ;0.75 ;42 945 ;1 741 ;1.77 ;1.39
Indefatigable ;3;Battleship ;U.K. ;25 048 ;46.77 % ;1.21 ;34 664 ;692;0.59 ;2.41
Svea ;10;Cruiser ;Europe ;24 752 ;54.71 % ;0.9 ;70 728 ;2 032 ;4.14 ;1.84
AL Ägir ;9;Cruiser ;Germany ;24 349 ;51.08 % ;0.58 ;53 770 ;1 570 ;3.02 ;0.9
Dupleix ;6;Cruiser ;France ;24 190 ;51.92 % ;0.66 ;30 238 ;1 205 ;0.96 ;0.99
Black B ;9;Destroyer ;U.S.A. ;23 411 ;50.25 % ;0.61 ;34 818 ;1 619 ;1.46 ;0.98
Tsurugi ;9;Battleship ;Japan ;23 138 ;49.82 % ;0.71 ;69 279 ;1 639 ;1.64 ;1.17
Victoria ;9;Battleship ;Spain ;22 173 ;51.55 % ;0.84 ;81 626 ;1 841 ;2.32 ;1.63
Tashkent '39 ;7;Destroyer ;U.S.S.R. ;21 878 ;53.21 % ;0.78 ;30 748 ;1 482 ;0.47 ;1.36
Eastern Dragon ;7;Cruiser ;Japan ;21 294 ;49.84 % ;0.62 ;35 286 ;1 295 ;1.49 ;0.99
Navarin ;9;Battleship ;U.S.S.R. ;21 024 ;53.96 % ;0.85 ;75 345 ;1 877 ;3.73 ;1.31
Numancia ;8;Cruiser ;Spain ;20 179 ;51.06 % ;0.72 ;42 232 ;1 638 ;2.34 ;1.25
Chikuma II ;9;Cruiser ;Japan ;20 079 ;52.22 % ;0.66 ;49 725 ;1 651 ;1.37 ;1.52
Dunedin ;4;Cruiser ;Commonwealth ;19 921 ;48.11 % ;1.1 ;29 057 ;825;1.37 ;1.62
Ship Smasha ;8;Destroyer ;Pan-Asia ;19 470 ;47.12 % ;0.53 ;31 396 ;1 510 ;3.84 ;0.79
Iwami B ;9;Battleship ;Japan ;19 368 ;49.67 % ;0.68 ;66 478 ;1 612 ;2.52 ;1.23
Tianjin ;9;Cruiser ;Pan-Asia ;17 016 ;51.83 % ;0.67 ;63 163 ;1 723 ;3.02 ;1.23
Sutlej ;1;Cruiser ;Commonwealth ;16 942 ;48.19 % ;3.52 ;21 907 ;982;0 ;7.12
Elli ;6;Cruiser ;Europe ;16 161 ;53.07 % ;0.69 ;30 323 ;1 254 ;2.29 ;1.15
Kléber CLR ;10;Destroyer ;France ;15 694 ;51.07 % ;0.79 ;54 299 ;1 762 ;1.8 ;1.31
Caradoc ;3;Cruiser ;Commonwealth ;14 767 ;46.7 % ;1.52 ;33 846 ;844;0.14 ;2.46
Vicente Guerrero ;3;Cruiser ;Pan-America ;14 032 ;44.16 % ;1.02 ;24 443 ;661;0.71 ;1.69
Roon CLR ;9;Cruiser ;Germany ;13 484 ;50.76 % ;0.6 ;59 847 ;1 635 ;2.13 ;1.19
AL Cheshire ;8;Cruiser ;U.K. ;12 896 ;52.27 % ;0.77 ;47 425 ;1 635 ;5.73 ;1.39
Navarra ;3;Cruiser ;Spain ;12 480 ;43.07 % ;1.18 ;28 113 ;696;0.28 ;1.98
Shinonome B ;6;Destroyer ;Japan ;12 147 ;51.09 % ;0.82 ;24 591 ;1 348 ;0.02 ;1.27
BA Montana ;10;Battleship ;U.S.A. ;11 027 ;52.66 % ;1.01 ;102 520 ;2 002 ;3.85 ;2.14
Smolensk B ;10;Cruiser ;U.S.S.R. ;10 693 ;51.13 % ;0.9 ;84 554 ;1 979 ;3.54 ;1.64
Almirante Barroso ;2;Cruiser ;Pan-America ;10 555 ;49.37 % ;1.61 ;28 458 ;741;0 ;3.48
Port Jackson ;2;Cruiser ;Commonwealth ;10 413 ;49.69 % ;1.56 ;29 487 ;804;0 ;3.45
Nottingham ;8;Cruiser ;U.K. ;10 289 ;51.06 % ;0.67 ;43 818 ;1 537 ;0.86 ;1.06
Jupiter '42 ;7;Destroyer ;U.K. ;10 098 ;56.7 % ;0.95 ;30 940 ;1 732 ;0.4 ;1.95
Louchuan ;9;Battleship ;Pan-Asia ;9 907 ;51.32 % ;0.72 ;75 311 ;1 709 ;2.54 ;1.45
Theseus ;8;Aircraft Carrier ;U.K. ;9 384 ;53.76 % ;0.88 ;81 986 ;1 869 ;3.63 ;3.25
Mengchong ;9;Cruiser ;Pan-Asia ;8 424 ;50.48 % ;0.58 ;53 152 ;1 570 ;2.86 ;0.86
Alabama ST ;8;Battleship ;U.S.A. ;8 247 ;59.61 % ;1.08 ;75 555 ;1 932 ;6 ;2.21
Repulse B ;6;Battleship ;U.K. ;8 198 ;50.82 % ;0.88 ;49 516 ;1 431 ;1.37 ;1.43
Tennessee ;8;Battleship ;U.S.A. ;7 753 ;56.05 % ;1.14 ;85 884 ;2 008 ;4.71 ;2.5
Picardie ;8;Battleship ;France ;7 659 ;51.34 % ;0.81 ;62 110 ;1 689 ;2.68 ;1.62
STAR Edinburgh ;8;Cruiser ;U.K. ;6 985 ;51.97 % ;0.62 ;37 901 ;1 576 ;3.93 ;1.18
AL Hornet ;8;Aircraft Carrier ;U.S.A. ;6 566 ;49.8 % ;0.88 ;62 908 ;1 667 ;3.41 ;2.91
Ning Hai ;3;Cruiser ;Pan-Asia ;6 501 ;50.43 % ;1.72 ;38 581 ;989;0.11 ;3.18
Xin Zhong Guo 14 ;6;Submarine ;Pan-Asia ;6 203 ;51.8 % ;0.38 ;19 149 ;1 102 ;0 ;0.74
Rodney ;7;Battleship ;U.K. ;5 809 ;55.6 % ;1.1 ;63 516 ;1 728 ;3.12 ;1.76
Rattlehead ;5;Cruiser ;U.S.A. ;5 538 ;55.66 % ;0.96 ;34 630 ;1 328 ;0.36 ;1.58
Brennus ;10;Cruiser ;France ;5 356 ;55.26 % ;0.95 ;101 214 ;2 130 ;2.19 ;2.04
Almirante Abreu ;2;Cruiser ;Pan-America ;4 838 ;57.67 % ;1.83 ;31 574 ;1 006 ;0 ;4.12
Zao CLR ;10;Cruiser ;Japan ;4 461 ;49.94 % ;0.72 ;70 482 ;1 812 ;2.52 ;1.35
Lazo B ;7;Cruiser ;U.S.S.R. ;4 427 ;51.87 % ;0.7 ;43 773 ;1 469 ;1.59 ;1.14
BA Tirpitz ;8;Battleship ;Germany ;4 105 ;50.55 % ;0.71 ;55 620 ;1 632 ;2.61 ;1.01
AL Avrora ;3;Cruiser ;U.S.S.R. ;4 052 ;52.57 % ;1.61 ;36 429 ;1 064 ;0.05 ;2.9
Xuan Wu ;9;Battleship ;Pan-Asia ;3 480 ;51.85 % ;0.72 ;70 927 ;1 703 ;3.64 ;1.36
Kozma Minin ;9;Cruiser ;U.S.S.R. ;3 265 ;56.05 % ;0.78 ;66 202 ;1 991 ;2.68 ;1.79
Chikuma II Golden ;9;Cruiser ;Japan ;3 043 ;54.95 % ;0.77 ;55 799 ;1 793 ;1.41 ;1.91
Alabama VL ;8;Battleship ;U.S.A. ;2 204 ;64.16 % ;1.17 ;83 621 ;2 298 ;6.46 ;2.96
BA Takahashi ;9;Cruiser ;Japan ;1 825 ;51.52 % ;0.52 ;40 766 ;1 510 ;3.27 ;1.04
Montcalm ;6;Cruiser ;France ;1 766 ;53.25 % ;0.88 ;43 277 ;1 474 ;2.35 ;1.57
Brisbane B ;10;Cruiser ;Commonwealth ;1 350 ;46.78 % ;0.53 ;45 136 ;1 647 ;3.89 ;0.86
Bagration ;8;Cruiser ;U.S.S.R. ;1 337 ;48.6 % ;0.45 ;32 582 ;1 434 ;3.84 ;0.64
Zhu Que ;8;Destroyer ;Pan-Asia ;1 220 ;52.33 % ;0.73 ;29 510 ;1 692 ;3.33 ;1.31
Azuma B ;9;Cruiser ;Japan ;970;49.87 % ;0.73 ;79 552 ;1 793 ;2.03 ;1.38
Orion '44 ;6;Cruiser ;U.K. ;762;59.98 % ;1 ;33 206 ;1 520 ;2.57 ;2.18
Alabama B ;8;Battleship ;U.S.A. ;607;49.58 % ;0.81 ;62 757 ;1 737 ;4.75 ;1.54
München B ;7;Cruiser ;Germany ;304;47.32 % ;0.64 ;34 569 ;1 414 ;1.64 ;0.97
La Pampa ;10;Destroyer ;Pan-America ;37;77.56 % ;1.52 ;72 504 ;2 325 ;1.34 ;3.83
Utrecht ;10;Cruiser ;The Netherlands ;- ;- ;- ;- ;- ;- ;-
Monmouth ;10;Cruiser ;U.K. ;- ;- ;- ;- ;- ;- ;-
Menno van Coehoorn ;9;Cruiser ;The Netherlands ;- ;- ;- ;- ;- ;- ;-
Jaarsveld ;8;Cruiser ;The Netherlands ;- ;- ;- ;- ;- ;- ;-
S-1 ;6;Submarine ;U.S.S.R. ;- ;- ;- ;- ;- ;- ;-
L-20 ;8;Submarine ;U.S.S.R. ;- ;- ;- ;- ;- ;- ;-
K-1 ;10;Submarine ;U.S.S.R. ;- ;- ;- ;- ;- ;- ;-
Werner Voss ;10;Aircraft Carrier ;Germany ;- ;- ;- ;- ;- ;- ;-
Teng She ;7;Battleship ;Pan-Asia ;- ;- ;- ;- ;- ;- ;-
DD 214 ;4;Destroyer ;U.S.A. ;- ;- ;- ;- ;- ;- ;-
Shinano ;10;Aircraft Carrier ;Japan ;- ;- ;- ;- ;- ;- ;-
Vrijheid ;8;Cruiser ;The Netherlands ;- ;- ;- ;- ;- ;- ;-
Lugdunum ;7;Battleship ;Europe ;- ;- ;- ;- ;- ;- ;-
Kalmar ;5;Destroyer ;Europe ;- ;- ;- ;- ;- ;- ;-
Taihang ;9;Battleship ;Pan-Asia ;- ;- ;- ;- ;- ;- ;-
Balao 2 ;10;Submarine ;U.S.A. ;- ;- ;- ;- ;- ;- ;-
Frank Friday ;9;Destroyer ;U.S.A. ;- ;- ;- ;- ;- ;- ;-
Incheon ;10;Cruiser ;Pan-Asia ;- ;- ;- ;- ;- ;- ;-
Ravenna ;10;Cruiser ;Italy ;- ;- ;- ;- ;- ;- ;-
Vladimir Monomakh ;10;Cruiser ;U.S.S.R. ;- ;- ;- ;- ;- ;- ;-
Noord-Brabant ;10;Cruiser ;The Netherlands ;- ;- ;- ;- ;- ;- ;-
Vrijheid ;10;Cruiser ;The Netherlands ;- ;- ;- ;- ;- ;- ;-
Colorado 2 ;7;Battleship ;U.S.A. ;- ;- ;- ;- ;- ;- ;-
North Carolina 2 ;8;Battleship ;U.S.A. ;- ;- ;- ;- ;- ;- ;-
Admiraal ;8;Cruiser ;The Netherlands ;- ;- ;- ;- ;- ;- ;-
Iowa 2 ;9;Battleship ;U.S.A. ;- ;- ;- ;- ;- ;- ;-
Montana 2 ;10;Battleship ;U.S.A. ;- ;- ;- ;- ;- ;- ;-
Utah ;10;Battleship ;U.S.A. ;- ;- ;- ;- ;- ;- ;-
Cumberland ;10;Battleship ;U.K. ;- ;- ;- ;- ;- ;- ;-
Comodoro ;10;Battleship ;Pan-America ;- ;- ;- ;- ;- ;- ;-
Prins van Oranje ;10;Cruiser ;The Netherlands ;- ;- ;- ;- ;- ;- ;-
Archerfish ;10;Submarine ;U.S.A. ;- ;- ;- ;- ;- ;- ;-
Amerigo Vespucci ;10;Battleship ;Italy ;- ;- ;- ;- ;- ;- ;-
Otto Lilienthal ;10;Aircraft Carrier ;Germany ;- ;- ;- ;- ;- ;- ;-
Prinz Sigismund ;9;Battleship ;Germany ;- ;- ;- ;- ;- ;- ;-
Georg Hoffmann ;10;Destroyer ;Germany ;- ;- ;- ;- ;- ;- ;-
Statenland ;8;Cruiser ;The Netherlands ;- ;- ;- ;- ;- ;- ;-
Yari ;10;Cruiser ;Japan ;- ;- ;- ;- ;- ;- ;-
Niord ;9;Battleship ;Europe ;- ;- ;- ;- ;- ;- ;-
Admiral Orlov ;10;Aircraft Carrier ;U.S.S.R. ;- ;- ;- ;- ;- ;- ;-
Lübeck ;10;Destroyer ;Germany ;- ;- ;- ;- ;- ;- ;-
Södermanland ;10;Destroyer ;Europe ;- ;- ;- ;- ;- ;- ;-
Petrozavodsk ;10;Cruiser ;U.S.S.R. ;- ;- ;- ;- ;- ;- ;-
Volunteer State ;8;Battleship ;U.S.A. ;- ;- ;- ;- ;- ;- ;-
